tweet,date_time,real_sentiment,real_distilbert_sentiment
Can't wait to get back and watch my friend @iamjamiefoxx in his new film that opened this weekend!! 😊 @SleeplessMovie,15/01/2017 18:23
Guys!! Your chance to win my custom Honda Civic will be up soon! What are you waiting for? Enter at https://t.co/XxO6vSxV2L. #HondaCivicTour,11/01/2017 20:43
YES!! I see you Smurfette... Killing the #DemiLovatoChallenge 😂​ #SmurfsMovie https://t.co/JbZ6V95JXZ,11/01/2017 17:46
Can't believe it's been almost three months since #HondaCivicTour ended... Relive this one with me?… https://t.co/bTUt5fgfA1,05/01/2017 17:56
"Excited to nominate you guys, my #Lovatics for the 2017 #BestFanArmy award at the #iHeartAwards!! RT and share to v… https://t.co/PxieDmxRPr",04/01/2017 04:19
Umm.. this #demilovatochallenge is giving me LIFE 😂😂🙌🏼🙌🏼,03/01/2017 05:27
Happy NYE! Wanted to give you all a little something special...my new updated emojis are on sale for .99 cents! ✨… https://t.co/FeQsifsvV6,01/01/2017 00:39
Had so much fun performing tonight in St. Maarten for @CelebrityCruise #DestinationDemi https://t.co/vW9AmmrNKh,29/12/2016 03:08
Thank you 😊 https://t.co/PSsLUeSvDi,28/12/2016 17:08
RIP Carrie Fisher 😔,27/12/2016 19:24
"Wanted to share my favorite holiday song with you guys ❤️ Hope you like my rendition of “Silent Night” 
Happy Holid… https://t.co/y3ZyH047ur",19/12/2016 18:27
The countdown to my show with @CelebrityCruise is ON! Just 12 more days! #DestinationDemi https://t.co/0XsLU92Drv https://t.co/H82b0Gkz5L,16/12/2016 18:00
@ScottTheBadDad https://t.co/4FOSDqYwID,15/12/2016 23:18
@SupremeLovatics https://t.co/Hi2bn0roce,15/12/2016 23:13
@RingRingPotato https://t.co/AjHg7ugqg4,15/12/2016 23:11
@ashestoashleyy You rule 🤗 Here's a little something to say thanks 💗 DM @JBLAudio for details! #GiftGoodVibes,15/12/2016 20:22
Had the pleasure of meeting Alan Thicke and his amazing wife Tanya a few years back.. my thoughts and prayers are with his family. RIP 😔,14/12/2016 02:04
This song is so powerful to me &amp; I feel even more powerful performing it for you guys. https://t.co/K3IB3ShHs4 #HondaCivicTour #FutureNow,14/12/2016 00:39
Cozied up with this cutie in my @SKECHERSUSA today. 🐶 #SkechersDemiStyle https://t.co/vxQmJAEDgL,13/12/2016 23:45
"Catch what @therock &amp; friends pulled off for 50,000 of our troops in Pearl Harbor. Amazing special tonight @spike 9 ET. Historic night!",13/12/2016 19:42
A MAJOR highlight from #HondaCivicTour was getting to play new music for all of you 😊 https://t.co/mObslbEmpr https://t.co/MJcm2lyzC9,12/12/2016 21:44
So excited!! My sticker pack is finally here! You can download it now in the @appstore and @googleplay… https://t.co/dna4CfvJOv,12/12/2016 18:53
I'll never forget this day. Going to bed with a dream that came true after so many years.. #honored #grateful #surreal 😭🙌🏼,07/12/2016 07:20
@bellathorne thank you pretty girl!!! 💕,06/12/2016 21:58
@nickjonas thank you nick!!!! 💗,06/12/2016 17:33
I still can't believe I've been NOMINATED FOR A GRAMMY.... you guys have no idea how unbelievably grateful and happy I am.. wow... #pinchme,06/12/2016 17:30
Btw.. it is an HONOR to be nominated with @Adele @Sia @justinbieber &amp; @ArianaGrande!!!!!! 😱😱😱,06/12/2016 16:08
@DiannaDeLaGarza we did it momma 😊💕,06/12/2016 15:49
@joejonas LOVE YOU THANK YOU!!!,06/12/2016 15:48
Woke up to the most amazing news EVER!!!!!!! Wow... thank you SO MUCH to @RecordingAcad!!!!!!!!!!!!!! 😭 #GrammyNominations,06/12/2016 15:48
What're some songs you’d like to hear at my show w/ @CelebrityCruise? It’s gonna be a great night! #DestinationDemi… https://t.co/DhjGJkZZkI,05/12/2016 19:15
"Images have the power to change perception, see 10 people living WELL with a #mentalhealth condition… https://t.co/f8CuaaBvV2",05/12/2016 17:03
@FOXSports @JayGlazer I join when I can because I love supporting this cause that changes lives!! #teamMVP,04/12/2016 20:11
"Working with Episode, Apple, and (RED) to #endAIDS. Get the (EPISODE)RED pack today! #GamesForRED @RED @AppStore… https://t.co/t5MvKeIAlc",02/12/2016 20:00
Who wouldn’t love a rose gold and matte black Honda Civic? Could be yours!! https://t.co/XxO6vSxV2L https://t.co/UDYMJcUdOG #HondaCivicTour,02/12/2016 17:03
Enjoying my time off.. love you guys! 💗,01/12/2016 22:12
🤗🤗🤗 https://t.co/wKlKRGRefP,01/12/2016 21:58
We have launched the #BeVocalSpeakUp photo collection to show what mental health REALLY looks like – check it out!… https://t.co/NwuxeTgMu7,30/11/2016 13:00
Loved being a Smurfette in the new #SmurfsMovie: The Lost Village! I can’t wait for you guys to see it!! 💙 https://t.co/eui42Z5vKz,22/11/2016 20:17
Seriously can’t wait to spend to spend time in #SXM with my fans and @celebritycruise. #cruisechat #DestinationDemi… https://t.co/oYNEJVJhtS,22/11/2016 19:28
Watching this makes me miss performing this song for you guys 💜💜 https://t.co/LEym3RIRX7 #HondaCivicTour #FutureNow https://t.co/IZJnBg1ZvZ,22/11/2016 02:49
"Yes! Body Say in 360, exclusively from @MarriottRewards. https://t.co/egMJ6ifDRb #FriendOfMR",21/11/2016 18:39
I'm super excited to officially be a part of the @JBLaudio family! So much more to come 😊 #JBLxDemi https://t.co/qyEbvWgify,21/11/2016 16:05
SO proud to see how far @DNCE and @JoeJonas have come!! Go get their debut album out now 😘 https://t.co/CSk2mmQnwi,18/11/2016 04:54
So bummed I’m missing @DNCE’s album preview show today in NYC!  But I want you ALL to get out there and see it https://t.co/dcvebSz593,17/11/2016 22:20
"Coming for you, India!! Excited and honored to play the @glblctznIN festival Saturday in Mumbai! #ShuruaatHoonMain https://t.co/7djuNiYWx8",17/11/2016 20:25
My custom Honda Civic will be the hottest car on the road 🔥 and it might be yours… Enter at https://t.co/XxO6vSPwrl. #HondaCivicTour,17/11/2016 19:03
I’ve been a part of @Ember_Tech from the beginning and am excited to announce that you can get an Ember mug at sele… https://t.co/DRHunAfE09,16/11/2016 21:58
ICYMI: I’m performing at a private concert in the Caribbean with @CelebrityCruise. See you there!… https://t.co/HPyl39FobP,15/11/2016 00:44
God bless my little sister's generation.,09/11/2016 04:48
Where is #OliviaPope when you need her?,09/11/2016 04:43
COME ON WEST COAST... #STAYINLINE #VOTE,09/11/2016 03:24
I apologize for the joke I made earlier.. seemed to offend some people. Just making light of the election 😕,08/11/2016 22:06
"Couldn't sleep last night and can't nap right now, I'm too anxious for tonight!! 🇺🇸💙😱❤️#imwithher",08/11/2016 21:45
In less than 24 hours we will find it who our next president is. 😱😱😱,08/11/2016 06:03
"Personally #ImWithHer, but regardless - it's so important that all Americans vote tomorrow no matter what.",08/11/2016 05:24
"#IVotedBecause I believe in equality, we need comprehensive immigration reform, I am pro-choice and global warming IS real. #ImWithHer",08/11/2016 05:22
November 19th | Mumbai | Change begins with me #ShuruaatHoonMain https://t.co/CsfyO4MclZ,07/11/2016 06:00
Super excited to give the guests of @CelebrityCruise an intimate performance this Dec. Join me! 🎉🌴… https://t.co/h5tK2zqQOh,04/11/2016 19:00
Seeing you guys sing along to “Heart Attack” melts my ❤️. Watch me perform it live on #HondaCivicTour #FutureNow at https://t.co/Tu1lTuFJpK!,04/11/2016 16:00
Mental illness affects millions but the photos out there just aren't showing the real picture. #BeVocalSpeakUp is looking to change that.,03/11/2016 20:04
There’s so much I’m going to miss about #HondaCivicTour! See our fave moments in our final tour diary! https://t.co/zE2CHl5ejK @nickjonas,03/11/2016 19:05
